Key,File,Type,UsedInMainMenu,NoTranslate,english,spanish,Context
quest_Soldier73,,,,,"Soldier Class 73/100","Clase Soldado 73/100",,
quest_Soldier73_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier73_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier74,,,,,"Soldier Class 74/100","Clase Soldado 74/100",,
quest_Soldier74_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier74_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier75,,,,,"Soldier Class 75/100","Clase Soldado 75/100",,
quest_Soldier75_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier75_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier76,,,,,"Soldier Class 76/100","Clase Soldado 76/100",,
quest_Soldier76_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier76_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier77,,,,,"Soldier Class 77/100","Clase Soldado 77/100",,
quest_Soldier77_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier77_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier78,,,,,"Soldier Class 78/100","Clase Soldado 78/100",,
quest_Soldier78_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier78_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier79,,,,,"Soldier Class 79/100","Clase Soldado 79/100",,
quest_Soldier79_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier79_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier80,,,,,"Soldier Class 80/100","Clase Soldado 80/100",,
quest_Soldier80_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier80_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier81,,,,,"Soldier Class 81/100","Clase Soldado 81/100",,
quest_Soldier81_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier81_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier82,,,,,"Soldier Class 82/100","Clase Soldado 82/100",,
quest_Soldier82_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier82_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier83,,,,,"Soldier Class 83/100","Clase Soldado 83/100",,
quest_Soldier83_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier83_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier84,,,,,"Soldier Class 84/100","Clase Soldado 84/100",,
quest_Soldier84_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier84_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier85,,,,,"Soldier Class 85/100","Clase Soldado 85/100",,
quest_Soldier85_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier85_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier86,,,,,"Soldier Class 86/100","Clase Soldado 86/100",,
quest_Soldier86_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier86_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier87,,,,,"Soldier Class 87/100","Clase Soldado 87/100",,
quest_Soldier87_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier87_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier88,,,,,"Soldier Class 88/100","Clase Soldado 88/100",,
quest_Soldier88_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier88_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier89,,,,,"Soldier Class 89/100","Clase Soldado 89/100",,
quest_Soldier89_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier89_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier90,,,,,"Soldier Class 90/100","Clase Soldado 90/100",,
quest_Soldier90_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier90_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier91,,,,,"Soldier Class 91/100","Clase Soldado 91/100",,
quest_Soldier91_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier91_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier92,,,,,"Soldier Class 82/100","Clase Soldado 92/100",,
quest_Soldier92_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier92_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier93,,,,,"Soldier Class 83/100","Clase Soldado 93/100",,
quest_Soldier93_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier93_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier94,,,,,"Soldier Class 84/100","Clase Soldado 94/100",,
quest_Soldier94_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier94_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier95,,,,,"Soldier Class 85/100","Clase Soldado 95/100",,
quest_Soldier95_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier95_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier96,,,,,"Soldier Class 86/100","Clase Soldado 96/100",,
quest_Soldier96_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier96_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier97,,,,,"Soldier Class 87/100","Clase Soldado 97/100",,
quest_Soldier97_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier97_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier98,,,,,"Soldier Class 88/100","Clase Soldado 98/100",,
quest_Soldier98_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier98_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier99,,,,,"Soldier Class 89/100","Clase Soldado 99/100",,
quest_Soldier99_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier99_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Soldier100,,,,,"Soldier Class 100/100","Clase Soldado 100/100",,
quest_Soldier100_desc,,,,,"The rest of the missions are still in development.","Las misiones aún se encuentra en desarrollo.",,
quest_Soldier100_subtitle,,,,,"Kill the zombies.","Acaba con los zombis indicados.",,
quest_Final,,,,,"Final Mission","Misión Final",,
quest_Final_desc,,,,,"Collect all class trophies to complete Tongomod.","Reúne todos los trofeos de clase para completar Tongomod.",,
quest_Final_subtitle,,,,,"Final Mission","Misión Final",,
quest_Final_description_title,,,,,"Tongomod Completed","Tongomod Completado",,
quest_Final_description,,,,,"This quest completes Tongomod. If there was an ending scene it would be here. Maybe in the future that feature can be included. \n\nThank you for playing, and I hope you've enjoyed Tongomod, see you in the next version.....if it ever comes.....","Con esta misión se completa Tongomod. Si hubiera una escena de finalización estaría aquí. Quizá en el futuro se pueda incluir esa característica. \n\nGracias por jugar, y espero que hayas disfrutado de Tongomod, nos veremos en la próxima versión.....si es que llega algun dia..... ",,
itemTrophySurvivalistTM,,,,,"Survivalist Trophy","Trofeo de Superviviente",,
itemTrophySurvivalistTMDesc,,,,,"Survivalist Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Superviviente. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophyBuilderTM,,,,,"Builder Trophy","Trofeo de Constructor",,
itemTrophyBuilderTMDesc,,,,,"Builder Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Constructor. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophyFarmerTM,,,,,"Farmer Trophy","Trofeo de Granjero",,
itemTrophyFarmerTMDesc,,,,,"Farmer Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Granjero. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophyChefTM,,,,,"Chef Trophy","Trofeo de Chef",,
itemTrophyChefTMDesc,,,,,"Chef Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Chef. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophyHunterTM,,,,,"Hunter & Neddle Trophy","Trofeo de Caza y Aguja",,
itemTrophyHunterTMDesc,,,,,"Hunter Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Cazador. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophyMedicTM,,,,,"Medic & Science Trophy","Trofeo de Medicina y Ciencia",,
itemTrophyMedicTMDesc,,,,,"Medic Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Médico. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophyMechanicTM,,,,,"Mechanic & Electricity Trophy","Trofeo de Mecanica y Electricidad",,
itemTrophyMechanicTMDesc,,,,,"Mechanic Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Mecanico. Reúne todos los trofeos de clase para completar Tongomod.",,
itemTrophySoldierTM,,,,,"Soldier Trophy","Trofeo de Soldado",,
itemTrophySoldierTMDesc,,,,,"Soldier Trophy. Collect all class trophies to complete Tongomod.","Trofeo de la clase Soldado. Reúne todos los trofeos de clase para completar Tongomod.",,
lblContextActionMakina,,,,,"Recipe Machine","Máquina de Recetas",,
workingMakinaTip_title,,,,,"Recipe Machine","Máquina de Recetas",,
workingMakinaTip,,,,,"Make any recipe available thanks to the blue papers.","Fabrica cualquier receta disponible gracias a los papeles azules.",,
lblContextActionLibros,,,,,"Books Machine",Máquina de Libros,,
workingLibrosTip_title,,,,,"Books Machine",Máquina de Libros,,
workingLibrosTip,,,,,"Is a book missing from your collection? Try to make it here with the blue papers.","¿Falta algun libro en tu colección?, prueba a fabricarlo aquí con los papeles azules.",,
lblContextActionDysmantle,,,,,"Ensamble/Dismantle Machine","Máquina Montadora/Desmontadora",,
workingDysmantleTip_title,,,,,"Ensamble/Dismantle Machine","Máquina Montadora/Desmontadora",,
workingDysmantleTip,,,,,"Dismantle ammo and craft special items.","Desmonta munición y crea objetos especiales.",,
lblContextActionSeeds,,,,,"Seed Machine","Máquina de Semillas",,
workingSemillasTip_title,,,,,"Seed Machine","Máquina de Semillas",,
workingSemillasTip,,,,,"Obtain 1 seed for each available fruit..","Obtén 1 semilla por cada fruto disponible.",,
lblContextActionOven,,,,,"Advanced Oven","Horno Avanzado",,
workingOvenTip_title,,,,,"Advanced Oven","Horno Avanzado",,
workingOvenTip,,,,,"Oven for cooking special recipes","Horno para cocinar recetas especiales.",,
lblContextActionAutominerT0,,,,,"Basic Autominer","Autominado Básico",,
autoMinerT0Tip_title,,,,,"Basic Autominer","Autominado Básico",,
autoMinerT0Tip,,,,,"Automatic Machine to get Resources.","Máquina automática para obtener recursos.",,
lblContextActionAutominerADV,,,,,"Advanced Autominer","Autominado Avanzado",,
autoMinerADVTip_title,,,,,"Advanced Autominer","Autominado Avanzado",,
autoMinerADVTip,,,,,"Advanced machine to get all kinds of mineral resources. \nGet Advanced Engineering to fast and less production.","Máquina avanzada para obtener todo tipo de recursos minerales \nSe rige por Ingenieria Avanzada para funcionar mas rapido y consumir menos recursos.",,
lblContextActionworkingOchemi,,,,,"Science Machine","Maquina de Ciencia",,
workingOchemiTip_title,,,,,"Science Machine","Maquina de Ciencia",,
workingOchemiTip,,,,,"Science machine to craft advanced items.","Mesa de ciencia para fabricar objetos avanzados.",,
drugCatTM,,,,,"Hunter's Combine","Combinado de Cazador",,
drugCatTMDesc,,,,,"Combination to improve Hunter skills.","Combinación para mejorar las habilidades de Cazador.",,
drugDogTM,,,,,"Combined Force","Combinado de Fuerza",,
drugDogTMDesc,,,,,"Combination to improve Fighter skills.","Combinación para mejorar las habilidades de Luchador.",,
meleeToolMegaBreakerTM,,,,,"Mega Breaker","Mega Rompedora",,
meleeToolMegaBreakerTMDesc,,,,,"Great and Destructive handle tooll, Use this to destroy block very quickly. \n\nCraft in Dysmantle Machine. \n\nRepair with repair kit. ","Poderos y destructiva herramienta de mano, Usala para romper bloques rapidamente. \n\nSe fabrica en maquina Desmontadora. \n\nSe repara con kit de reparación. ",,
meleeToolMegaBreakerTMSchematic,,,,,"Tool Mega Breaker Schematic","Esquema de Mega Herramienta Rompedora",,
lblLibrosT0WorkingLibros,,,,,"Books Crafting Tier 1","Crafteo de Libros Tier 1",,
lblLibrosT1WorkingLibros,,,,,"Books Crafting Tier 2","Crafteo de Libros Tier 2",,
lblLibrosT2WorkingLibros,,,,,"Books Crafting Tier 3","Crafteo de Libros Tier 3",,
lblMgazinesTXWorkingLibros,,,,,"Magazines Crafting","Crafteo revistas",,
lblModsT1WorkingLibros,,,,,"Mods Crafting Tier 1","Crafteo de Mods Tier 1",,
lblModsT2WorkingLibros,,,,,"Mods Crafting Tier 2","Crafteo de Mods Tier 2",,
lblModsT3WorkingLibros,,,,,"Mods Crafting Tier 3","Crafteo de Mods Tier 3",,
lblOcanOven,,,,,"Can Food Crafting","Crafteo de Latas de Comida",,
lblOsnackOven,,,,,"Snacks Crafting","Crafteo de Chuches",,
lblOaquaOven,,,,,"Beverages Crafting","Crafteo de Bebidas",,
meleeToolMegaAugerTM,,,,,"Mega Auger","Mega Taladro",,
meleeToolMegaAugerTMDesc,,,,,"Advanced auger to harvest minerals quickly. \n\nCraft in Dysmantle Machine. \n\nRepair with repair kit. ","Taladro avanzado para conseguir minerales rapidamente. \n\nSe fabrica en maquina Desmontadora. \n\nSe repara con kit de reparación. ",,
meleeToolMegaAugerTMSchematic,,,,,"Mega Auger Schematic","Esquema de Mega Taladro",,
meleeToolMegaChainsawTM,,,,,"Mega Chainsaw","Mega Motosierra",,
meleeToolMegaChainsawTMDesc,,,,,"Advanced auger to harvest wood, more wood, don't stop me now... \n\nCraft in Dysmantle Machine. \n\nRepair with repair kit. ","Motosierra avanzada para conseguir madera, mas madera... \n\nSe fabrica en maquina Desmontadora. \n\nSe repara con kit de reparación. ",,
meleeToolMegaChainsawTMSchematic,,,,,"Mega Chainsaw Schematic","Esquema de Mega Motosierra",,
meleeToolRepairMegaNailgunTM,,,,,"Mega Nailgun","Mega Pistola de Clavos",,
meleeToolRepairMegaNailgunTMDesc,,,,,"Advanced Nailgun for build and repair quickly. \n\nCraft in Dysmantle Machine. \n\nRepair with repair kit. ","Pistola de clavos avanzada para construir y reparar rapidamente. \n\nSe fabrica en maquina Desmontadora. \n\nSe repara con kit de reparación. ",,
meleeToolRepairMegaNailgunTMSchematic,,,,,"Mega Nailgun Schematic","Esquema de Mega Pistola de Clavos",,
medicalFirstAidBandageTM,,,,,"Advanced First Aid Bandage","Vendaje Curativo Avanzado",,
